Name,MSRP,Gas Mileage,Engine
2004 Acura MDX Specs: 4-Door SUV Touring Pkg RES,"$40,500.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2004 Acura MDX Specs: 4-Door SUV Touring Pkg,"$39,000.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2003 Acura MDX Specs: 4-Door SUV,"$35,700.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2003 Acura MDX Specs: 4-Door SUV Touring Pkg w/Navigation,"$40,500.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2003 Acura MDX Specs: 4-Door SUV Touring Pkg RES w/Nav,"$42,000.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2003 Acura MDX Specs: 4-Door SUV Touring Pkg RES,"$39,800.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2003 Acura MDX Specs: 4-Door SUV Touring Pkg,"$38,300.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2002 Acura MDX Specs: 4-Door SUV,"$34,700.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2002 Acura MDX Specs: 4-Door SUV Touring Pkg w/Navigation,"$39,300.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2002 Acura MDX Specs: 4-Door SUV w/Navigation,"$36,700.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2002 Acura MDX Specs: 4-Door SUV Touring Pkg,"$37,300.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2001 Acura MDX Specs: 4-Door SUV,"$34,370.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2001 Acura MDX Specs: 4-Door SUV Touring Pkg w/Navigation,"$38,970.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2001 Acura MDX Specs: 4-Door SUV w/Navigation,"$36,370.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2001 Acura MDX Specs: 4-Door SUV Touring Pkg,"$36,970.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2019 Acura TLX Specs: 2.4L FWD,"$33,000.00",23 mpg City/33 mpg Hwy,"Premium Unleaded I-4, 2.4 L"
2019 Acura TLX Specs: 3.5L SH-AWD w/Technology Pkg,"$42,100.00",20 mpg City/29 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2019 Acura TLX Specs: 3.5L SH-AWD w/Advance Pkg,"$45,950.00",20 mpg City/29 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2019 Acura TLX Specs: 3.5L SH-AWD w/A-SPEC Pkg Red Leather,"$44,800.00",20 mpg City/29 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2019 Acura TLX Specs: 3.5L SH-AWD w/A-SPEC Pkg,"$44,800.00",20 mpg City/29 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2019 Acura TLX Specs: 3.5L SH-AWD,"$38,200.00",20 mpg City/29 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
2019 Acura TLX Specs: 3.5L FWD w/Technology Pkg,"$40,100.00",20 mpg City/31 mpg Hwy,"Premium Unleaded V-6, 3.5 L"
